STATION,ICAO,L,AT,,LO,NG,,ELEV,M
AKURE AIRPORT,DNAK,7,15,N,5,18,E,336,X
AKUREYRI,BIAR,65,40,N,18,4,W,27,X
AKUSE,DGAK,6,5,N,0,7,E,19,X
AKYAB,VBRA,20,7,N,92,52,E,5,X
AL AHSA,OEAH,25,16,N,49,28,E,172,X
AL AIN INTNL ARP,OMAL,24,15,N,55,36,E,262,X
AL ASAD     ORAA,KQAJ,33,46,N,42,25,E,188,X
AL BAHA,OEBA,20,18,N,41,37,E,1656,X
AL DAWADMI,OEDM,24,27,N,44,7,E,922,X
AL DHAFRA,KQGX,24,15,N,54,32,E,23,X
AL FALLUJAH,KQMA,33,19,N,43,52,E,47,X
AL GHAIDAH,OYAG,16,12,N,52,10,E,42,X
AL HAMRA AUX,OMAH,24,5,N,52,28,E,16,X
AL HOCEIMA/COTE,GMTA,35,10,N,3,51,W,14,X
AL KHARJ AB,OEKJ,24,4,N,47,35,E,503,X
AL KHARJI,KQUZ,24,13,N,47,56,E,497,X
AL KUT,EQBC,32,28,N,45,45,E,20,X
AL KUT DELTA FOB,KQCQ,32,28,N,45,46,E,30,X
AL MASSIRA MC,GMAD,30,19,N,9,25,W,74,X
AL MINHAD AIRB,OMDM,25,2,N,55,22,E,51,X
AL MUSAYYIB FOB,KQAE,32,48,N,44,27,E,37,X
AL NAJAF,ORNI,31,59,N,44,24,E,53,X
AL QAIM     ORAQ,KQVO,34,16,N,41,10,E,232,X
AL SAHRA    ORSH,KQSL,34,40,N,43,32,E,139,X
AL TAJI     ORTI,KQAQ,33,31,N,44,15,E,36,X
AL TAQADDUM ORAT,KQEZ,33,19,N,43,36,E,84,X
AL UDEID,KQIR,25,7,N,51,19,E,40,X
ALABASTER,KEET,33,11,N,86,47,W,173,X
ALABAT ISLAND,RPXT,14,14,N,121,56,E,5,X
ALAMEDA NAS,KNGZ,37,46,N,122,19,W,4,X
ALAMINOS CANYON,KHHV,26,56,N,94,41,W,25,X
ALAMOGORDO WHITE,KALM,32,49,N,105,58,W,1279,X
ALAMOSA,KALS,37,26,N,105,52,W,2299,X
ALBACETE (CIV/MI,LEAB,38,57,N,1,51,W,704,X
ALBACORA P25 OIL,SBLB,22,6,S,39,55,W,10,X
ALBANY,KABY,31,32,N,84,12,W,58,X
ALBANY,KALB,42,45,N,73,48,W,92,X
ALBANY AIRPORT,YPAL,34,55,S,117,47,E,69,X
AL-BAYDA,OYBI,13,58,N,45,34,E,1011,X
ALBEMARLE STANLY,KVUJ,35,25,N,80,9,W,186,X
ALBENGA,LIMG,44,2,N,8,7,E,49,X
ALBERT LEA,KAEL,43,41,N,93,22,W,383,X
ALBERT LEA,QBLM,43,38,N,93,23,W,383,X
ALBERTVILLE MUNI,K8A0,34,14,N,86,15,W,315,X
ALBI/LE SEQUESTR,LFCI,43,55,N,2,7,E,178,X
ALBION MUNI,KBVN,41,44,N,98,3,W,551,X
ALBORG,EKYT,57,6,N,9,52,E,3,X
ALBROOK AFS/BALB,MPLB,8,58,N,79,32,W,9,X
ALBUQUERQUE,KABQ,35,3,N,106,37,W,1618,X
ALBURY AIRPORT,YMAY,36,4,S,146,56,E,171,X
ALCANTARILLA(SP-,LERI,37,57,N,1,13,W,75,X
ALCONBURY RAF,EGWZ,52,22,N,0,13,W,49,X
ALDERNEY/CHANNEL,EGJA,49,43,N,2,12,W,71,X
ALENCON/VALFRAMB,LFOF,48,27,N,0,7,E,141,X
ALEPPO (CIV/MIL),OSAP,36,10,N,37,13,E,393,X
ALERT,CWLT,82,30,N,62,19,W,63,X
ALERT,CZLT,82,30,N,62,20,W,65,X
ALERT AIRPORT,CYLT,82,31,N,62,16,W,31,X
ALESUND/VIGRA,ENAL,62,34,N,6,7,E,22,X
ALEXANDER BAY,FAAB,28,34,S,16,31,E,21,X
ALEXANDER/RUSSEL,KALX,32,55,N,85,58,W,209,X
ALEXANDRIA,KAEX,31,20,N,92,34,W,27,X
ALEXANDRIA,KESF,31,24,N,92,17,W,28,X
ALEXANDRIA,KAXN,45,52,N,95,24,W,433,X
ALEXANDRIA,KN85,40,35,N,75,1,W,146,X
ALEXANDRIA,CTAL,45,19,N,74,37,W,77,X
ALEXANDRIA BORG,HEBA,30,55,N,29,42,E,54,X
ALEXANDRIA/NOUZH,HEAX,31,11,N,29,56,E,7,X
ALEXANDROUPOLIS,LGAL,40,51,N,25,57,E,3,X
ALFRED,CTAE,45,33,N,74,53,W,57,X
ALGHERO,LIEA,40,37,N,8,16,E,23,X
ALGONA,KAXA,43,4,N,94,16,W,372,X
ALGONQUIN PARK,CTNK,45,32,N,78,16,W,410,X
AL-HAZM,OYZM,16,11,N,44,46,E,1900,X
ALI AL SALEM,KQGV,29,20,N,47,31,E,143,X
ALICANTE/EL ALTE,LEAL,38,16,N,0,33,W,31,X
ALICE,KALI,27,44,N,98,1,W,53,X
ALICE SPRINGS AR,YBAS,23,48,S,133,54,E,541,X
ALICE TOWN/S BI,MYBS,25,42,N,79,16,W,3,X
ALIGARH,VIAH,27,52,N,78,4,E,187,X
ALINDAO,FEFA,5,2,N,21,11,E,449,X
ALIWAL NORTH,FAAN,30,43,S,26,43,E,1351,X
AL-JOUF (CIV/MIL,OESK,29,46,N,40,6,E,684,X
ALLAHABAD (IN-AF,VIAL,25,26,N,81,43,E,98,X
ALLENTOWN,KABE,40,39,N,75,27,W,114,X
ALLENTOWN QUEEN,KXLL,40,34,N,75,29,W,122,X
ALLIANCE,KAIA,42,3,N,102,48,W,1196,X
ALMA,KAMG,31,32,N,82,30,W,59,X
ALMA,KAMN,43,19,N,84,41,W,230,X
ALMA-ATA,UAAA,43,21,N,77,2,E,847,X
ALMERIA AIRPORT,LEAM,36,51,N,2,22,W,21,X
ALOFI COOK IS,NIUE,19,4,S,169,55,W,20,X
ALOR/MALI/KALABA,WRKM,8,13,S,124,34,E,12,X
ALOTAU,AYGN,10,19,S,150,20,E,27,X
ALPENA,KAPN,45,4,N,83,34,W,210,X
ALPINE-CASPARIS,KE38,30,23,N,103,41,W,1376,X
ALPNACH,LSMA,46,57,N,8,17,E,444,X
ALTA AIRPORT,ENAT,69,58,N,23,22,E,3,X
ALTA FLORESTA,SBAT,9,52,S,56,6,W,288,X
ALTAMIRA,SBHT,3,15,S,52,16,W,74,X
ALTENBURG-NOBITZ,EDAC,50,59,N,12,30,E,195,X
ALTENSTADT/SCHON,ETHA,47,49,N,10,52,E,760,X
ALTO PALENA,SCAP,43,37,S,71,47,W,277,X
ALTO RIO SENGUER,SAVR,45,1,S,70,49,W,697,X
ALTON/ST LOUIS R,KALN,38,53,N,90,2,W,166,X
