STATION,ICAO,L,AT,,LO,NG,,ELEV,M
CLARION,KCAV,42,45,N,93,46,W,354,X
CLARK,K8D7,44,54,N,97,43,W,547,X
CLARKSBURG,KCKB,39,18,N,80,13,W,360,X
CLARKSDALE,KCKM,34,18,N,90,31,W,53,X
CLARKSVILLE,KCKV,36,37,N,87,25,W,165,X
CLARKSVILLE,KLBR,33,36,N,95,4,W,134,X
CLATSOP SPIT,K3CL,46,14,N,124,1,W,9,X
CLAXTON/EVANS CO,KCWV,32,12,N,81,52,W,33,X
CLAYTON,KCAO,36,27,N,103,9,W,1514,X
CLAYTON LAKE,K40B,46,37,N,69,31,W,314,X
CLEARDALE AGDM,CXCD,56,19,N,119,45,W,630,X
CLEARFIELD,KFIG,41,3,N,78,25,W,462,X
CLEBURNE,KCPT,32,21,N,97,26,W,260,X
CLEMSON,KCEU,34,40,N,82,53,W,268,X
CLERMONT/AULNAT,LFLC,45,46,N,3,10,E,330,X
CLEVELAND,KRNV,33,46,N,90,45,W,41,X
CLEVELAND,KBKL,41,32,N,81,40,W,184,X
CLEVELAND,KCLE,41,25,N,81,51,W,233,X
CLEVELAND MUNI,K6R3,30,21,N,95,0,W,46,X
CLEVLND/CUYAHOGA,KCGF,41,34,N,81,28,W,268,X
CLINES CORNERS,KCQC,35,0,N,105,40,W,2160,X
CLINTON,KW32,38,45,N,76,56,W,76,X
CLINTON,KGLY,38,21,N,93,41,W,251,X
CLINTON,KCTZ,34,59,N,78,22,W,45,X
CLINTON,KCSM,35,21,N,99,12,W,588,X
CLINTON,KCLK,35,32,N,98,56,W,492,X
CLINTON (MARS),CWCL,51,8,N,121,30,W,1057,X
CLINTON MUNI,KCCA,35,36,N,92,27,W,157,X
CLINTON MUNI,KCWI,41,49,N,90,19,W,216,X
CLINTONVILLE,KCLI,44,36,N,88,43,W,250,X
CLOQUET,KCOQ,46,42,N,92,30,W,390,X
CLOVIS MUNI,KCVN,34,25,N,103,4,W,1284,X
CLUFF LAKE,CXXX,58,23,N,109,31,W,339,X
CLUJ-NAPOCA/SOME,LRCL,46,47,N,23,41,E,413,X
CMP D GOITACAZES,SBFS,22,1,S,41,4,W,3,X
CO SPNGS MEADOW,KFLY,38,57,N,104,34,W,2096,X
COATESVILLE,KMQS,39,59,N,75,52,W,201,X
COBAN,MGCB,15,29,N,90,25,W,1316,X
COBIJA,SLCO,11,2,S,68,47,W,272,X
COBOURG (MARS),CWNC,43,57,N,78,10,W,78,X
COCA/FRANCISCO,SECO,0,27,S,76,59,W,220,X
COCHABAMBA/JORGE,SLCB,17,25,S,66,11,W,2548,X
COCHIN (IN-NAVY),VOCC,9,56,N,76,16,E,3,X
COCHIN INTL,VOCI,10,9,N,76,24,E,8,X
COCHRANE,SCHR,47,13,S,72,32,W,167,X
COCHSTEDT ARPT,EDBC,51,51,N,11,25,E,181,X
COCKBURN/SAN SAL,MYSM,24,3,N,74,31,W,5,X
COCO ISLAND,VBCI,14,7,N,93,22,E,3,X
COCOBEACH,FOOC,1,0,N,9,35,E,13,X
COCOS ISL INTL A,YPCC,12,10,S,96,49,E,3,X
CODY,KCOD,44,31,N,109,1,W,1553,X
COEUR D'ALENE,KCOE,47,46,N,116,49,W,707,X
COFFEYVILLE,KCFV,37,5,N,95,34,W,225,X
COFFS HARBOUR,YCFS,30,19,S,153,7,E,5,X
COGNAC/CHATEAUBE,LFBG,45,40,N,0,19,W,31,X
COIMBATORE/PEELA,VOCB,11,1,N,77,2,E,399,X
COLBY,KCBK,39,26,N,101,3,W,971,X
COLD BAY,PACD,55,12,N,162,43,W,30,X
COLD LAKE (CAN,CYOD,54,24,N,110,17,W,544,X
COLDWATER,KOEB,41,55,N,85,2,W,292,X
COLEMAN (USA-AF),ETOR,49,34,N,8,28,E,94,X
COLEMAN MUNI,KCOM,31,50,N,99,24,W,517,X
COLERNE RAF,EGUO,51,26,N,2,17,W,13,X
COLIMA,MMIA,19,16,N,103,34,W,723,X
COLLEGE PARK,KCGS,38,59,N,76,55,W,15,X
COLLEGE STATION,KCLL,30,35,N,96,22,W,96,X
COLLEGEDALE,K3M3,35,3,N,85,1,W,262,X
COLLINGWOOD (AUT,CWCO,44,27,N,80,10,W,221,X
COLMAR/MEYENHEIM,LFSC,47,55,N,7,24,E,217,X
COLOMBO/KATUNAYA,VCBI,7,10,N,79,52,E,8,X
COLOMBO/RATMALAN,VCCC,6,49,N,79,52,E,5,X
COLON,MUCO,22,40,N,80,55,W,35,X
COLONIA SACRAMEN,SUCA,34,27,S,57,46,W,23,X
COLORADO SPRINGS,KCOS,38,49,N,104,43,W,1856,X
COLSTRIP,KM46,45,51,N,106,43,W,1044,X
COLUMBIA,KO22,38,2,N,120,25,W,646,X
COLUMBIA,KCOU,38,49,N,92,13,W,271,X
COLUMBIA,KCAE,33,56,N,81,7,W,70,X
COLUMBIA,KMRC,35,33,N,87,11,W,208,X
COLUMBIA-OWENS,KCUB,33,58,N,81,0,W,56,X
COLUMBUS,KCSG,32,31,N,84,57,W,135,X
COLUMBUS,KCMH,40,0,N,82,53,W,247,X
COLUMBUS AFB,KCBM,33,38,N,88,27,W,67,X
COLUMBUS MUNI,KOLU,41,27,N,97,19,W,440,X
COLUMBUS/BALKALA,KBAK,39,16,N,85,54,W,200,X
COLUMBUS/BOLTON,KTZR,39,54,N,83,8,W,276,X
COLUMBUS/ST UNIV,KOSU,40,5,N,83,5,W,280,X
COLVILLE MUNICIP,KCQV,48,32,N,117,52,W,572,X
COMANCHE,KMKN,31,55,N,98,36,W,423,X
COMBOLCHA/DESSIE,HADC,11,4,N,39,43,E,1864,X
COMILLA,VGCM,23,25,N,91,10,E,10,X
COMISO AS (USAF),LICB,36,55,N,14,35,E,220,X
COMMAND POST TAN,RKSH,37,31,N,126,58,E,73,X
COMODORO RIVADAV,SAVC,45,46,S,67,28,W,46,X
COMOX (CAN MIL),CYQQ,49,43,N,124,54,W,24,X
CONAKRY/GBESSIA,GUCY,9,34,N,13,37,W,26,X
CONCEICAO ARAGUA,SBAA,8,21,S,49,18,W,199,X
CONCEPCION,SLCP,16,9,S,62,1,W,497,X
CONCEPCION/CARRI,SCIE,36,46,S,73,4,W,16,X
CONCEPCION/MARIS,SGCO,23,25,S,57,17,W,74,X
CONCORD,KCCR,38,0,N,122,3,W,11,X
CONCORD,KCON,43,12,N,71,30,W,103,X
CONCORD REG ARPT,KJQF,35,23,N,80,43,W,210,X
CONCORDIA,KCNK,39,33,N,97,39,W,447,X
CONCORDIA/PIERRE,SAAC,31,18,S,58,1,W,38,X
CONFEDERATION BR,CXBP,46,14,N,63,44,W,54,X
CONINGSBY RAF,EGXC,53,6,N,0,10,W,7,X
CONNAUGHT APT,EIKN,53,55,N,8,49,W,64,X
CONROE,KCXO,30,21,N,95,25,W,75,X
CONSORT AGDM,CXCS,51,56,N,110,43,W,772,X
CONSTABLE POINT,BGCO,70,45,N,22,40,W,10,X
CONSTANTINE/EL B,DABC,36,16,N,6,37,E,694,X
CONTINENTAL DIV,KCTD,41,43,N,107,47,W,2146,X
CONWAY-HORRY CTY,KHYW,33,50,N,79,7,W,11,X
COOK MUNI AIRPOR,KCQM,47,49,N,92,41,W,404,X
COOKHOUSE,FACH,32,46,S,25,45,E,900,X
COOLANGATTA AWS,YBCG,28,10,S,153,30,E,6,X
COOLIDGE/ANTIGUA,TAPA,17,7,N,61,47,W,14,X
COOMA,YSCM,36,13,S,149,4,E,778,X
COOPERSTOWN,KS32,47,25,N,98,6,W,684,X
COP ARYAN,KQIU,33,7,N,68,2,E,2120,X
COP CHEROKEE,KQLD,33,39,N,68,54,E,2504,X
COP PAYNE,KQPA,30,30,N,63,54,E,668,X
COP WILDERNESS,KQB6,33,22,N,69,24,E,2014,X
COPENHAGEN/KASTR,EKCH,55,37,N,12,40,E,5,X
COPENHAGEN/ROSKI,EKRK,55,34,N,12,7,E,44,X
COPIAPO/CHAMONAT,SCHA,27,18,S,70,25,W,291,X
COPPER HARBOR,KP59,47,28,N,87,53,W,190,X
COPPERMINE AIRPO,CYCO,67,49,N,115,9,W,22,X
CORAL HARBOUR AR,CYZS,64,12,N,83,22,W,64,X
CORDELE,KCKF,31,59,N,83,46,W,91,X
CORDOBA AIRPORT,SACO,31,19,S,64,13,W,474,X
CORDOBA AIRPORT,LEBA,37,51,N,4,49,W,92,X
CORDOVA,PACV,60,30,N,145,30,W,12,X
CORINTH/R TURNER,KCRX,34,55,N,88,36,W,130,X
CORK ARPT/CORCAI,EICK,51,51,N,8,28,W,162,X
CORLU,LTBU,41,7,N,27,55,E,173,X
CORMEILLES VEXIN,LFPT,49,6,N,2,2,E,99,X
CORNING,K4M9,36,24,N,90,39,W,90,X
CORNWALL,CTCW,45,2,N,74,41,W,58,X
CORO/JOSE LEONAR,SVCR,11,25,N,69,40,W,17,X
CORONA MUNI,KAJO,33,54,N,117,36,W,163,X
CORONA PASS,KCRV,40,3,N,105,35,W,3538,X
CORONA/LINCOLN,K4CR,34,6,N,105,40,W,1981,X
CORONACH SPC,CWAQ,49,3,N,105,29,W,756,X
CORONATION(AUT),CWCT,52,4,N,111,28,W,791,X
CORPUS CHRISTI,KCRP,27,46,N,97,30,W,14,X
CORRIENTES AIRPO,SARC,27,26,S,58,46,W,62,X
CORSICANA,KCRS,32,2,N,96,24,W,133,X
CORTEZ,KCEZ,37,18,N,108,38,W,1797,X
CORUMBA INTL ARP,SBCR,19,0,S,57,40,W,141,X
CORVALLIS MUNI A,KCVO,44,30,N,123,16,W,75,X
CORVO IS AZORES,LPCR,39,40,N,31,7,W,26,X
COSFORD RAF,EGWC,52,37,N,2,17,W,83,X
COSTA MESA,KSNA,33,40,N,117,52,W,16,X
COTABATO/MINDANA,RPWC,7,10,N,124,13,E,58,X
COTONOU/CADJEHOU,DBBB,6,20,N,2,22,E,9,X
COTTESMORE RAF,EGXJ,52,44,N,0,39,W,138,X
COTTONWOOD PASS,K7BM,38,47,N,106,13,W,2995,X
COTULLA,KCOT,28,27,N,99,13,W,140,X
COUNCIL BLUFFS,KCBF,41,16,N,95,46,W,382,X
COURTLAND,K9A4,34,40,N,87,21,W,179,X
COVE ISLAND (MAP,CWWX,45,19,N,81,44,W,181,X
COVENTRY AIRPORT,EGBE,52,22,N,1,28,W,82,X
COVEY HILL,CMCW,45,1,N,73,52,W,262,X
COVINGTON,K9A1,33,38,N,83,51,W,247,X
COVINGTON,KCVG,39,3,N,84,40,W,269,X
COVINGTON MUNI,KM04,35,35,N,89,35,W,85,X
COX'S BAZAR,VGCB,21,25,N,91,58,E,4,X
COYHAIQUE/TENIEN,SCCY,45,34,S,72,6,W,311,X
COZUMEL (CIV/MIL,MMCZ,20,31,N,86,55,W,5,X
COZZO SPADARO,LICO,36,40,N,15,7,E,51,X
CRAIG,KCAG,40,30,N,107,31,W,1887,X
CRAIOVA,LRCV,44,19,N,23,53,E,191,X
CRANBROOK,CYXC,49,36,N,115,46,W,939,X
CRANE LAKE,KCDD,48,16,N,92,29,W,341,X
CRANFIELD,EGTC,52,4,N,0,37,W,111,X
CRANWELL RAF,EGYD,53,2,N,0,30,W,67,X
CREIL (FAFB),LFPC,49,15,N,2,31,E,88,X
CRESCENT CITY,KCEC,41,46,N,124,13,W,17,X
CRESTON,KCSQ,41,1,N,94,22,W,394,X
CRESTON (AUTOB),CWJR,49,4,N,116,30,W,646,X
CRESTVIEW,KCEW,30,47,N,86,31,W,55,X
CROCKETT,KDKR,31,18,N,95,24,W,106,X
CROKER RIVER,CWXR,69,16,N,119,13,W,69,X
CROOKSTON MUNI,KCKN,47,51,N,96,37,W,273,X
CROSBY,KD50,48,56,N,103,18,W,595,X
CROSS CITY,KCTY,29,38,N,83,6,W,13,X
CROSS KEYS,K17N,39,42,N,75,2,W,49,X
CROSSVILLE,KCSV,35,57,N,85,5,W,570,X
CROTONE,LIBC,39,0,N,17,4,E,161,X
CROW VALLEY GNRY,RPXC,15,19,N,120,22,E,161,X
CROWN POINT AIRP,TTPT,11,9,N,60,50,W,6,X
CROWN PT/SCARBOR,TTCP,11,9,N,60,51,W,8,X
CROWSNEST,CWRT,49,37,N,114,28,W,1303,X
CRUZEIRO DO SUL,SBCZ,7,37,S,72,46,W,170,X
CRYSTAL RIVER,KCGC,28,52,N,82,34,W,3,X
CUAMBA,FQCB,14,49,S,36,31,E,607,X
CUCUTA/CAMILO DA,SKCC,7,55,N,72,31,W,317,X
CUDDAPAH,VOCP,14,28,N,78,49,E,130,X
CUENCA/MARISCAL,SECU,2,52,S,78,58,W,2531,X
CUERNAVACA,MMCB,18,50,N,99,16,W,1560,X
CUIABA/MARECHAL,SBCY,15,39,S,56,6,W,182,X
CULDROSE (NAVY),EGDR,50,5,N,5,15,W,82,X
CULIACAN (CITY),MMCL,24,46,N,107,28,W,39,X
CULLMAN/FOLSOM F,K3A1,34,16,N,86,51,W,294,X
CULLMAN/FOLSOM F,KCMD,34,16,N,86,51,W,294,X
CULMAN/NERIUGRI,UELL,56,55,N,124,55,E,859,X
CULPEPER,KCJR,38,32,N,77,52,W,97,X
CUMANA/ANTONIO J,SVCU,10,26,N,64,8,W,4,X
CUMBERLAND,KUBE,45,30,N,91,59,W,379,X
CUMBERLAND REG,KCBE,39,37,N,78,46,W,236,X
CUMSHEWA ISL (MA,CWZL,53,2,N,131,36,W,17,X
CURICO/GEN FREIR,SCIC,34,58,S,71,13,W,242,X
CURITIBA/AFONSO,SBCT,25,31,S,49,10,W,908,X
CURITIBA/BACACHE,SBBI,25,25,S,49,14,W,923,X
CURRITUCK,KONX,36,24,N,76,1,W,5,X
CURTIN/DERBY,YCIN,17,35,S,123,50,E,91,X
CURUG/BUDIARTO,WIIA,6,18,S,106,34,E,46,X
CURUZU CUATIA AR,SATU,29,46,S,57,58,W,73,X
CUSHING,KCUH,35,57,N,96,46,W,279,X
CUSTER,KCUT,43,44,N,103,37,W,1725,X
CUT BANK,KCTB,48,36,N,112,22,W,1175,X
CUZCO/VELAZCO AS,SPZO,13,33,S,71,58,W,3249,X
CYLDE AIRPORT,CYCY,70,28,N,68,31,W,26,X
CYPRESS HILLS PA,CWVP,49,38,N,109,31,W,1271,X
CYPRUS LAKE CS,CXCY,45,14,N,81,32,W,190,X
D15-FA-1 SEA,EHDV,54,19,N,2,56,E,50,X
DA NANG INTL ARP,VVDN,16,1,N,108,12,E,7,X
DAEGWALLYEONG RW,KQEN,37,41,N,128,46,E,839,X
DAESAN RWS,KQES,37,1,N,126,48,E,39,X
DAET/LUZON ISLAN,RPUD,14,7,N,122,58,E,4,X
DAGGETT,KDAG,34,51,N,116,47,W,587,X
DAKAR/YOFF,GOOY,14,43,N,17,30,W,24,X
DAKHLA AIRPORT,GMMH,23,43,N,15,56,W,11,X
DALAMAN (COMMUNE,LTBS,36,42,N,28,46,E,2,X
DALHART,KDHT,36,1,N,102,33,W,1217,X
DALIAN/DAIREN/LU,ZYTL,38,58,N,121,32,E,97,X
DALLAS NAS/HENSL,KNBE,32,43,N,96,58,W,150,X
DALLAS/ADDISON,KADS,32,58,N,96,49,W,196,X
DALLAS/FT WORTH,KDFW,32,54,N,97,1,W,174,X
DALLAS/LOVE FLD,KDAL,32,51,N,96,51,W,158,X
DALLAS/REDBIRD,KRBD,32,41,N,96,52,W,203,X
DALOA,DIDL,6,52,N,6,28,W,277,X
DALTON,KDNN,34,43,N,84,52,W,216,X
DAMASCUS (CIV/MI,OSDI,33,25,N,36,31,E,605,X
DAMAZIN,HSDZ,11,46,N,34,22,E,470,X
DANBURY,KDXR,41,22,N,73,29,W,139,X
DANEBORG (AUT),BGDB,74,17,N,20,13,W,44,X
DANIEL'S HARBOUR,CWDH,50,13,N,57,34,W,19,X
DANMARKSHAVN (PO,BGDH,76,46,N,18,40,W,12,X
DANSVILLE,KDSV,42,34,N,77,43,W,198,X
DANVILLE,KDNV,40,12,N,87,36,W,212,X
DANVILLE,KDVK,37,35,N,84,46,W,312,X
DANVILLE,KDAN,36,34,N,79,20,W,175,X
DAPP AGDM,CXDP,54,19,N,113,57,W,614,X
DAR ES SALAAM AR,HTDA,6,52,S,39,12,E,55,X
DAR-EL-BEIDA/HOU,DAAG,36,43,N,3,13,E,25,X
DARLINGTON CNTY,KUDG,34,27,N,79,53,W,59,X
DARWAZ,OADZ,38,25,N,70,47,E,1320,X
DARWIN (CIV/MIL),YPDN,12,25,S,130,54,E,30,X
DASHOGUZ,UTAT,41,46,N,59,50,E,83,X
DAUPHIN AIRPORT,CYDN,51,6,N,100,2,W,305,X
DAVAO/FRANCISCO,RPMD,7,7,N,125,39,E,18,X
DAVENPORT/QUAD C,KDVN,41,37,N,90,35,W,230,X
DAVID/ENRIQUE M,MPDA,8,24,N,82,26,W,27,X
DAVIDSON CTY AP,KEXX,35,47,N,80,18,W,223,X
DAVIS,KEDU,38,32,N,121,47,W,21,X
DAVIS/TUCSON,KDMA,32,10,N,110,52,W,824,X
DAWADMI,OEDW,24,30,N,44,23,E,990,X
DAWEI,VBTV,14,5,N,98,13,E,17,X
DAWSON AIRPORT,CYDA,64,2,N,139,7,W,369,X
DAWSON CREEK ARP,CYDQ,55,45,N,120,10,W,655,X
DAX/SEYRESSE,LFBY,43,40,N,1,4,W,32,X
DAYONG,ZGDY,29,8,N,110,29,E,900,X
DAYTON,KDAY,39,54,N,84,13,W,305,X
DAYTON,KMGY,39,36,N,84,14,W,289,X
DAYTONA BEACH,KDAB,29,11,N,81,4,W,9,X
DE AAR,FADA,30,38,S,24,1,E,1247,X
DE AAR MET,FADY,30,38,S,23,55,E,384,X
DE BILT,EHDB,52,6,N,5,10,E,4,X
DE KALB,KDKB,41,56,N,88,42,W,279,X
DE KOOY (NAVY),EHKD,52,55,N,4,46,E,14,X
DE LA INDEPENDEN,SCRG,34,10,S,70,46,W,441,X
DE QUEEN,KDEQ,34,3,N,94,24,W,106,X
DEAD HORSE,KDHS,44,13,N,106,6,W,1241,X
DEADHORSE,PASC,70,12,N,148,28,W,15,X
DEADMAN VALLEY,CXDK,61,16,N,124,28,W,283,X
DEASE LAKE,CWDL,58,25,N,130,1,W,816,X
DEASE LAKE,CYDL,58,25,N,130,1,W,816,X
DEASE LAKE CS,CWKX,58,25,N,130,0,W,793,X
DEBERT,CZDB,45,25,N,63,28,W,38,X
DEBRE MARCOS,HADM,10,20,N,37,43,E,2476,X
DEBRECEN AIRPORT,LHDC,47,28,N,21,37,E,112,X
DECATUR,KDCU,34,39,N,86,57,W,176,X
DECATUR,KDEC,39,50,N,88,51,W,207,X
DECATUR,KLUD,33,15,N,97,35,W,319,X
DECIMOMANNU(IT-A,LIED,39,21,N,8,58,E,28,X
DECORAH,KDEH,43,16,N,91,43,W,353,X
DEDOUGOU,DFOD,12,28,N,3,28,W,300,X
DEDZA,FWDZ,14,19,S,34,16,E,1632,X
DEELEN RNLAFB,EHDL,52,4,N,5,52,E,52,X
DEER CREEK,KDRC,42,50,N,105,52,W,1543,X
DEER LAKE AIRPOR,CYDF,49,13,N,57,24,W,22,X
DEER PARK,KDEW,47,58,N,117,26,W,674,X
DEERING,PADE,66,4,N,162,46,W,5,X
DEERWOOD RCS,CXDW,49,24,N,98,19,W,341,X
DEFIANCE,KDFI,41,20,N,84,26,W,219,X
DEIR ZZOR (CIV/M,OSDZ,35,19,N,40,8,E,212,X
DEL BAJIO/LEON,MMLO,21,0,N,101,28,W,1819,X
DEL BONITA AGDM,CXDB,49,3,N,112,49,W,1310,X
DEL RIO,KDRT,29,22,N,100,55,W,313,X
DELAND,KDED,29,4,N,81,17,W,24,X
DELAWARE,KDLZ,40,17,N,83,7,W,289,X
DELHI CS (AUT),CXDI,42,52,N,80,33,W,232,X
DELHI/SAFDARJUNG,VIDD,28,34,N,77,12,E,216,X
DELINE,CXDE,65,13,N,123,26,W,213,X
DELLS/BARABOO,KDLL,43,31,N,89,46,W,299,X
DELMA ISLAND,OMDL,24,30,N,52,20,E,25,X
DELTA,KU24,39,20,N,112,35,W,1414,X
DELTA JUNCTION,PABI,64,0,N,145,44,W,386,X
DELTA MARSH CS,CZUG,50,11,N,98,23,W,248,X
DELTA/BLAKE FLD,KAJZ,38,47,N,108,4,W,1583,X
DEMING,KDMN,32,16,N,107,43,W,1311,X
DEMOPOLIS,KDYA,32,28,N,87,57,W,34,X
DENISON,KDNS,41,58,N,95,22,W,388,X
DENTON,KDTO,33,12,N,97,12,W,196,X
DENVER (DIA),KDEN,39,50,N,104,39,W,1640,X
DENVER F. RANGE,KFTG,39,47,N,104,33,W,1675,X
DENVER/ARAPAHOE,KAPA,39,34,N,104,51,W,1775,X
DEPATI AMIR,WIPK,2,10,S,106,8,E,33,X
DEQUINCEY IND AR,K5R8,30,26,N,93,28,W,24,X
DERA ISMAIL KHAN,OPDI,31,49,N,70,55,E,173,X
DERBY,YDBY,17,22,S,123,40,E,7,X
DERIDDER/FSS,KDRI,30,50,N,93,20,W,63,X
DES MOINES,KDSM,41,32,N,93,40,W,295,X
DESCHAMBAULTS,CWHQ,46,41,N,71,58,W,55,X
DESERT R/MERCURY,KDRA,36,37,N,116,2,W,1006,X
DESIERTO ATACAMA,SCAT,27,16,S,70,47,W,204,X
DESMET,K6E5,44,26,N,97,33,W,527,X
DESROCHES,,5,41,S,53,40,E,3,X
DESTIN,KDTS,30,24,N,86,28,W,5,X
DET 7 GUARD BASE,KQKP,44,18,N,17,55,E,60,X
DETROIT LAKES,KDTL,46,49,N,95,52,W,426,X
DETROIT/CITY AIR,KDET,42,24,N,83,1,W,190,X
DETROIT/GROSSE I,KONZ,42,6,N,83,9,W,180,X
DETROIT/WAYNE,KDTW,42,14,N,83,20,W,195,X
DETROIT/WILLOW,KYIP,42,14,N,83,32,W,215,X
DEVILS LAKE,KDVL,48,7,N,98,55,W,443,X
DEVILS LAKE,KP11,48,7,N,98,55,W,443,X
DEVONPORT EAST,YMDV,41,10,S,146,22,E,47,X
DEWAR LAKES,CWUW,68,39,N,71,10,W,527,X
DEWITT SPAIN/MEM,KM01,35,12,N,90,3,W,69,X
DEZFUL (IRAN-AFB,OIAD,32,26,N,48,24,E,143,X
DHAHRAN INTL (MI,OEDR,26,16,N,50,10,E,17,X
DHAKA,VGHS,23,51,N,90,24,E,10,X
DHAKA/TEJGAON (M,VGTJ,23,46,N,90,22,E,9,X
DHAMAR,OYDM,14,32,N,44,26,E,2425,X
DIBRUGARH/MOHANB,VEMN,27,28,N,95,1,E,111,X
DICKINSON,KDIK,46,48,N,102,48,W,788,X
DICKSON,KM02,36,8,N,87,26,W,272,X
DIEGO GARCIA,FJDG,7,19,S,72,25,E,3,X
DIEGO-SUAREZ/ANT,FMNA,12,20,S,49,17,E,105,X
DIEPHOLZ (GER-AF,ETND,52,34,N,8,20,E,43,X
DIFFA,DRZF,13,25,N,12,46,E,305,X
DIGBY ARPT (AWRS,CYID,44,32,N,65,46,W,152,X
DIJON/LONGVIC(FA,LFSD,47,16,N,5,4,E,227,X
DIKHIL,KQDD,11,7,N,42,22,E,489,X
DILLI ARPT/TIMOR,WPDL,8,34,S,125,34,E,6,X
DILLINGHAM,PADL,59,3,N,158,31,W,26,X
DILLON,KDLN,45,15,N,112,33,W,1591,X
DILOLO,FZSI,10,40,S,22,19,E,1028,X
DIMBOKRO CITY,DIDK,6,39,N,4,42,W,92,X
DIMMIT,KFTN,28,13,N,100,1,W,236,X
DINARD/PLEURTUIT,LFRD,48,35,N,2,4,W,59,X
DIOURBEL,GOOD,14,39,N,16,13,W,9,X
DIPOLOG/MINDANAO,RPWG,8,35,N,123,20,E,5,X
DIRE DAWA (MIL/C,HADR,9,35,N,41,52,E,1146,X
DISCOVERY ISLAND,CWDR,48,25,N,123,14,W,17,X
DISHFORTH RAF,EGXD,54,8,N,1,25,W,35,X
DIWANIYAH,KQAD,31,58,N,44,55,E,14,X
DIXON,KC73,41,50,N,89,27,W,240,X
DIXON,KDWX,41,2,N,107,30,W,1996,X
DIYARBAKIR(CIV/A,LTCC,37,52,N,40,12,E,677,X
DJAMBALA,FCBD,2,31,S,14,46,E,790,X
DJANET/TISKA,DAAJ,24,18,N,9,27,E,968,X
DJANGOU AIRPORT,DXDP,10,48,N,0,14,E,280,X
DJELFA/TLETSI,DAFI,34,40,N,3,15,E,1144,X
DJERBA MELLITA,DTTJ,33,52,N,10,46,E,4,X
DJIBOUTI/AMBOULI,HFFF,11,33,N,43,8,E,19,X
DNIPROPETROVSK,UKDD,48,22,N,35,6,E,149,X
DOBBIACO,LIVD,46,43,N,12,13,E,1226,X
DOBBINS AFB/MARI,KMGE,33,55,N,84,31,W,326,X
DOBJ,,44,44,N,18,6,E,183,X
DODGE CENTER,KTOB,44,1,N,92,49,W,398,X
DODGE CITY,KDDC,37,46,N,99,58,W,789,X
DODOMA,HTDO,6,10,S,35,46,E,1120,X
DOHA INTL AIRPOR,OTBD,25,15,N,51,34,E,10,X
DOLE TAVAUX,LFGJ,47,3,N,5,26,E,196,X
DOLORES AIRPORT,SAZD,36,21,S,57,43,W,9,X
DON TORCUATO ARP,SADD,34,28,S,58,37,W,4,X
DONAUESCHINGEN,EDTD,47,58,N,8,31,E,680,X
DONCASTER SHEFFI,EGCN,53,29,N,1,0,W,17,X
DONEGAL ARPT,EIDL,55,3,N,8,20,W,9,X
DONETSK,UKCC,48,5,N,37,45,E,241,X
DONGGANG,RCMJ,22,28,N,120,25,E,8,X
DONGHAE RADAR,RKSB,37,30,N,129,8,E,37,X
DONGOLA/DUNQULAH,HSDN,19,10,N,30,28,E,226,X
DONGSHA/PRATAS,RCLM,20,40,N,116,43,E,6,X
DONGSHI,RCNO,23,16,N,119,40,E,45,X
DONNA NOOK RAF,EGXS,53,29,N,0,9,E,3,X
DORA 2SW,XDR1,33,55,N,103,21,W,1317,X
DORI,DFEE,14,1,N,0,1,W,277,X
DORTMUND/WICKEDE,EDLW,51,31,N,7,37,E,127,X
DOTHAN,KDHN,31,19,N,85,27,W,113,X
DOUALA (CIV/MIL),FKKD,4,0,N,9,43,E,9,X
DOUBLE EAGLE II,KAEG,35,8,N,106,48,W,1779,X
DOUGLAS,KDGW,42,48,N,105,23,W,1499,X
DOUGLAS BISBEE,KDUG,31,28,N,109,35,W,1265,X
DOUGLAS MUNI,KDQH,31,29,N,82,52,W,78,X
DOVA ACC,LIPP,45,23,N,11,52,E,14,X
DOVER AFB,KDOV,39,7,N,75,28,W,9,X
DOYLESTOWN,KDYL,40,20,N,75,7,W,117,X
DR BALAGUER INTL,MDJB,18,34,N,69,59,W,30,X
DRAUGEN,ENDR,64,21,N,7,48,E,50,X
DRESDEN/KLOTZSCH,EDDC,51,7,N,13,46,E,226,X
DRIGGS REED MEM,KDIJ,43,45,N,111,6,W,1899,X
DRUMHELLER EAST,CWDZ,51,25,N,112,40,W,678,X
DRUMMOND,K3DU,46,40,N,113,9,W,1202,X
DRUMMOND IS,KDRM,46,0,N,83,45,W,204,X
DRYAD POINT (LGT,CWAU,52,10,N,128,7,W,4,X
DRYDEN,K6R6,30,3,N,102,13,W,701,X
DRYDEN,CXDR,49,51,N,92,48,W,413,X
DRYDEN AIRPORT,CYHD,49,49,N,92,45,W,413,X
DSCHANG,FKKS,5,27,N,10,4,E,1408,X
DU BOIS,KDUJ,41,10,N,78,54,W,554,X
DUBAI AL MAKTOUM,OMDW,24,54,N,55,10,E,25,X
DUBAI INTL AIRPO,OMDB,25,15,N,55,22,E,5,X
DUBBO,YSDU,32,13,S,148,34,E,275,X
DUBENDORF,LSMD,47,24,N,8,39,E,448,X
DUBLIN,KDBN,32,34,N,82,59,W,94,X
DUBLIN AIRPORT,EIDW,53,25,N,6,15,W,85,X
DUBLIN/NEW RIV,KPSK,37,7,N,80,40,W,642,X
DUBOIS MUNI,KDUB,43,33,N,109,31,W,2224,X
